word,importance,surrogate,metric,kernel_width,iteration_id
event,0.06993120445221038,decision_tree,cosine,0.1925,1
It,0.0,decision_tree,cosine,0.1925,1
was,0.006081242819821369,decision_tree,cosine,0.1925,1
wlel,0.0,decision_tree,cosine,0.1925,1
orngaiezd,0.0,decision_tree,cosine,0.1925,1
and,0.17174070824035648,decision_tree,cosine,0.1925,1
eyojned,0.0,decision_tree,cosine,0.1925,1
evrey,0.0005968901678877525,decision_tree,cosine,0.1925,1
moment,0.020550041796518616,decision_tree,cosine,0.1925,1
of,0.0,decision_tree,cosine,0.1925,1
it,0.0,decision_tree,cosine,0.1925,1
The,0.005857600046451918,decision_tree,cosine,0.1925,1
speakers,0.014263826014064684,decision_tree,cosine,0.1925,1
were,0.0,decision_tree,cosine,0.1925,1
konwledgaeble,0.008107860716211694,decision_tree,cosine,0.1925,1
insihgftul,0.12409903399775464,decision_tree,cosine,0.1925,1
laerned,0.0,decision_tree,cosine,0.1925,1
lot,0.13366253710065296,decision_tree,cosine,0.1925,1
from,0.0,decision_tree,cosine,0.1925,1
them,0.0,decision_tree,cosine,0.1925,1
I,-0.09742616926289227,ridge,cosine,0.1925,2
had,0.08382471315087606,ridge,cosine,0.1925,2
a,0.27027790344738006,ridge,cosine,0.1925,2
fitsnatac,-0.15834995816005362,ridge,cosine,0.1925,2
time,-0.022602779998907155,ridge,cosine,0.1925,2
at,-0.039144576826395515,ridge,cosine,0.1925,2
this,-0.2566020224969282,ridge,cosine,0.1925,2
event,-0.08250996659667345,ridge,cosine,0.1925,2
It,0.11128730886794619,ridge,cosine,0.1925,2
was,0.04503664563098138,ridge,cosine,0.1925,2
wlel,-0.01662021787944395,ridge,cosine,0.1925,2
orngaiezd,-0.08308557665964489,ridge,cosine,0.1925,2
and,-0.233864579369554,ridge,cosine,0.1925,2
eyojned,-0.06190890731812587,ridge,cosine,0.1925,2
evrey,-0.024588864525750345,ridge,cosine,0.1925,2
moment,-0.13712847977780868,ridge,cosine,0.1925,2
of,-0.03841612761302496,ridge,cosine,0.1925,2
it,-0.015804560970544536,ridge,cosine,0.1925,2
The,0.07514216010291942,ridge,cosine,0.1925,2
speakers,0.0642840331816105,ridge,cosine,0.1925,2
were,0.11970803043480928,ridge,cosine,0.1925,2
konwledgaeble,-0.025673528171641088,ridge,cosine,0.1925,2
insihgftul,-0.18903311705949816,ridge,cosine,0.1925,2
laerned,-0.09115919829758182,ridge,cosine,0.1925,2
lot,0.16252983854534683,ridge,cosine,0.1925,2
from,0.04881755009990485,ridge,cosine,0.1925,2
them,-0.016992780233578836,ridge,cosine,0.1925,2
I,-0.03533317279545329,lasso,cosine,0.1925,2
had,0.020054348470997903,lasso,cosine,0.1925,2
a,0.2260097600839192,lasso,cosine,0.1925,2
fitsnatac,-0.09884184597340612,lasso,cosine,0.1925,2
time,-0.0,lasso,cosine,0.1925,2
at,-0.003562069731249223,lasso,cosine,0.1925,2
this,-0.20543660374190734,lasso,cosine,0.1925,2
event,-0.04211621067072248,lasso,cosine,0.1925,2
It,0.0561212976910693,lasso,cosine,0.1925,2
was,0.028273169338365316,lasso,cosine,0.1925,2
wlel,-0.0,lasso,cosine,0.1925,2
orngaiezd,-0.02963107669016494,lasso,cosine,0.1925,2
and,-0.18944743608978995,lasso,cosine,0.1925,2
eyojned,-0.038929634631200735,lasso,cosine,0.1925,2
evrey,-0.0,lasso,cosine,0.1925,2
moment,-0.08773058348041866,lasso,cosine,0.1925,2
of,-0.0,lasso,cosine,0.1925,2
it,0.0,lasso,cosine,0.1925,2
The,0.04722963209340018,lasso,cosine,0.1925,2
speakers,0.01614748440084782,lasso,cosine,0.1925,2
were,0.0452698716234561,lasso,cosine,0.1925,2
konwledgaeble,-0.0,lasso,cosine,0.1925,2
insihgftul,-0.15721564441002925,lasso,cosine,0.1925,2
laerned,-0.04277843117235651,lasso,cosine,0.1925,2
lot,0.13344694662648787,lasso,cosine,0.1925,2
from,0.0,lasso,cosine,0.1925,2
them,-0.0,lasso,cosine,0.1925,2
I,0.027625373084185736,decision_tree,cosine,0.1925,2
had,0.0,decision_tree,cosine,0.1925,2
a,0.22768216333298125,decision_tree,cosine,0.1925,2
fitsnatac,0.073998897467271,decision_tree,cosine,0.1925,2
time,0.0,decision_tree,cosine,0.1925,2
at,0.0,decision_tree,cosine,0.1925,2
this,0.16580055870721847,decision_tree,cosine,0.1925,2
event,0.05972646289233525,decision_tree,cosine,0.1925,2
It,0.0,decision_tree,cosine,0.1925,2
was,0.0,decision_tree,cosine,0.1925,2
wlel,0.0,decision_tree,cosine,0.1925,2
orngaiezd,0.0028935021014953564,decision_tree,cosine,0.1925,2
and,0.1781133018814584,decision_tree,cosine,0.1925,2
eyojned,0.0,decision_tree,cosine,0.1925,2
evrey,0.0,decision_tree,cosine,0.1925,2
moment,0.03173701177459794,decision_tree,cosine,0.1925,2
of,0.0,decision_tree,cosine,0.1925,2
it,0.0,decision_tree,cosine,0.1925,2
The,0.0012267990428210835,decision_tree,cosine,0.1925,2
speakers,0.0,decision_tree,cosine,0.1925,2
were,0.006455538006630348,decision_tree,cosine,0.1925,2
konwledgaeble,0.009996602056110032,decision_tree,cosine,0.1925,2
insihgftul,0.1075487211871969,decision_tree,cosine,0.1925,2
laerned,0.0,decision_tree,cosine,0.1925,2
lot,0.10719506846569844,decision_tree,cosine,0.1925,2
from,0.0,decision_tree,cosine,0.1925,2
them,0.0,decision_tree,cosine,0.1925,2
I,-0.11899348347320786,ridge,cosine,0.1925,3
had,0.08490634905498885,ridge,cosine,0.1925,3
a,0.24938960965557735,ridge,cosine,0.1925,3
fitsnatac,-0.15308964114386292,ridge,cosine,0.1925,3
time,0.0023664611047529904,ridge,cosine,0.1925,3
at,-0.02009958757510144,ridge,cosine,0.1925,3
this,-0.2644922499670731,ridge,cosine,0.1925,3
event,-0.054472347878533285,ridge,cosine,0.1925,3
It,0.0933696957752163,ridge,cosine,0.1925,3
was,0.04437133666159401,ridge,cosine,0.1925,3
wlel,-0.014817436935270118,ridge,cosine,0.1925,3
orngaiezd,-0.10020306387346357,ridge,cosine,0.1925,3
and,-0.24317631674091558,ridge,cosine,0.1925,3
eyojned,-0.057808055797167926,ridge,cosine,0.1925,3
evrey,-0.02060704327183403,ridge,cosine,0.1925,3
moment,-0.1495981923886044,ridge,cosine,0.1925,3
of,-0.022977473825667106,ridge,cosine,0.1925,3
it,-0.010491300709079259,ridge,cosine,0.1925,3
The,0.08589163949663835,ridge,cosine,0.1925,3
speakers,0.054819786696398316,ridge,cosine,0.1925,3
were,0.1015837889573677,ridge,cosine,0.1925,3
konwledgaeble,-0.021992323580983138,ridge,cosine,0.1925,3
insihgftul,-0.1983909211374256,ridge,cosine,0.1925,3
laerned,-0.07903388879454272,ridge,cosine,0.1925,3
lot,0.15636613988297482,ridge,cosine,0.1925,3
from,0.045813554270148216,ridge,cosine,0.1925,3
them,-0.00942181037823432,ridge,cosine,0.1925,3
I,-0.04564833051323299,lasso,cosine,0.1925,3
had,0.032478962843083804,lasso,cosine,0.1925,3
a,0.23153110902053106,lasso,cosine,0.1925,3
fitsnatac,-0.09390828809456044,lasso,cosine,0.1925,3
time,-0.0,lasso,cosine,0.1925,3
at,-0.0,lasso,cosine,0.1925,3
this,-0.22094549219493764,lasso,cosine,0.1925,3
event,-0.016312138244957374,lasso,cosine,0.1925,3
It,0.0568166838310417,lasso,cosine,0.1925,3
was,0.01690851165710125,lasso,cosine,0.1925,3
wlel,-0.00030140800315017866,lasso,cosine,0.1925,3
orngaiezd,-0.03722989543290433,lasso,cosine,0.1925,3
and,-0.1958418952597108,lasso,cosine,0.1925,3
eyojned,-0.0142116255085994,lasso,cosine,0.1925,3
evrey,-0.0013084923417098554,lasso,cosine,0.1925,3
moment,-0.09384125736251979,lasso,cosine,0.1925,3
of,-0.0,lasso,cosine,0.1925,3
it,-0.0,lasso,cosine,0.1925,3
The,0.06984775173469057,lasso,cosine,0.1925,3
speakers,0.018427169157969738,lasso,cosine,0.1925,3
were,0.0707608192102195,lasso,cosine,0.1925,3
konwledgaeble,-0.0,lasso,cosine,0.1925,3
insihgftul,-0.14020838998319451,lasso,cosine,0.1925,3
laerned,-0.04765468260635949,lasso,cosine,0.1925,3
lot,0.144029281805314,lasso,cosine,0.1925,3
from,0.01072127116379086,lasso,cosine,0.1925,3
them,-0.0,lasso,cosine,0.1925,3
I,0.011325110223520514,decision_tree,cosine,0.1925,3
had,0.0,decision_tree,cosine,0.1925,3
a,0.20628106348829595,decision_tree,cosine,0.1925,3
fitsnatac,0.04683013445011035,decision_tree,cosine,0.1925,3
time,0.0,decision_tree,cosine,0.1925,3
at,0.0,decision_tree,cosine,0.1925,3
this,0.22118344790036756,decision_tree,cosine,0.1925,3
event,0.03605117729684879,decision_tree,cosine,0.1925,3
It,0.0,decision_tree,cosine,0.1925,3
was,0.01323892212110371,decision_tree,cosine,0.1925,3
wlel,0.0,decision_tree,cosine,0.1925,3
orngaiezd,0.0,decision_tree,cosine,0.1925,3
and,0.17935171992838567,decision_tree,cosine,0.1925,3
eyojned,0.0,decision_tree,cosine,0.1925,3
evrey,0.0,decision_tree,cosine,0.1925,3
moment,0.040971512401194884,decision_tree,cosine,0.1925,3
of,0.0,decision_tree,cosine,0.1925,3
it,0.0,decision_tree,cosine,0.1925,3
The,0.0009075526247724964,decision_tree,cosine,0.1925,3
speakers,0.0,decision_tree,cosine,0.1925,3
were,0.0,decision_tree,cosine,0.1925,3
konwledgaeble,0.0,decision_tree,cosine,0.1925,3
insihgftul,0.10600488821695384,decision_tree,cosine,0.1925,3
laerned,0.0,decision_tree,cosine,0.1925,3
lot,0.13785447134844617,decision_tree,cosine,0.1925,3
from,0.0,decision_tree,cosine,0.1925,3
them,0.0,decision_tree,cosine,0.1925,3
I,-0.0919707940760139,ridge,cosine,0.1925,4
had,0.07326878664926147,ridge,cosine,0.1925,4
a,0.2626704902229883,ridge,cosine,0.1925,4
fitsnatac,-0.15592609142538622,ridge,cosine,0.1925,4
time,-0.03147080886237866,ridge,cosine,0.1925,4
at,-0.04310635595798952,ridge,cosine,0.1925,4
this,-0.26357992802964103,ridge,cosine,0.1925,4
event,-0.09154283385993811,ridge,cosine,0.1925,4
It,0.10202390796381346,ridge,cosine,0.1925,4
was,0.054450761884691445,ridge,cosine,0.1925,4
wlel,-0.04843541819217523,ridge,cosine,0.1925,4
orngaiezd,-0.10693796969730056,ridge,cosine,0.1925,4
and,-0.2285429083081388,ridge,cosine,0.1925,4
eyojned,-0.05395975212481035,ridge,cosine,0.1925,4
evrey,-0.023581880103363737,ridge,cosine,0.1925,4
moment,-0.1367421689500689,ridge,cosine,0.1925,4
of,-0.019031304810882974,ridge,cosine,0.1925,4
it,-0.016570734810560223,ridge,cosine,0.1925,4
The,0.0896063892921185,ridge,cosine,0.1925,4
speakers,0.05284949162733875,ridge,cosine,0.1925,4
were,0.09169818676577501,ridge,cosine,0.1925,4
konwledgaeble,-0.004419681382327831,ridge,cosine,0.1925,4
insihgftul,-0.1915048939648821,ridge,cosine,0.1925,4
laerned,-0.06871009641618256,ridge,cosine,0.1925,4
lot,0.1897234468315812,ridge,cosine,0.1925,4
from,0.07289370547750082,ridge,cosine,0.1925,4
them,-0.04055696760041504,ridge,cosine,0.1925,4
I,-0.04055543773946839,lasso,cosine,0.1925,4
had,0.025778654572173605,lasso,cosine,0.1925,4
a,0.21135511307902136,lasso,cosine,0.1925,4
fitsnatac,-0.11428846838763551,lasso,cosine,0.1925,4
time,-0.0,lasso,cosine,0.1925,4
at,-0.0,lasso,cosine,0.1925,4
this,-0.23062922647830808,lasso,cosine,0.1925,4
event,-0.043648476090972964,lasso,cosine,0.1925,4
It,0.06861445846894357,lasso,cosine,0.1925,4
was,0.0,lasso,cosine,0.1925,4
wlel,-0.0,lasso,cosine,0.1925,4
orngaiezd,-0.05482161101178024,lasso,cosine,0.1925,4
and,-0.20916899929837784,lasso,cosine,0.1925,4
eyojned,-0.01613014638300809,lasso,cosine,0.1925,4
evrey,-0.0,lasso,cosine,0.1925,4
moment,-0.08396774622828825,lasso,cosine,0.1925,4
of,-0.002534733520754255,lasso,cosine,0.1925,4
it,-0.0,lasso,cosine,0.1925,4
The,0.05280366904911759,lasso,cosine,0.1925,4
speakers,0.03169330978244521,lasso,cosine,0.1925,4
were,0.06152718974729391,lasso,cosine,0.1925,4
konwledgaeble,-0.0,lasso,cosine,0.1925,4
insihgftul,-0.1384446090827759,lasso,cosine,0.1925,4
laerned,-0.04574657577443884,lasso,cosine,0.1925,4
lot,0.1338036343737602,lasso,cosine,0.1925,4
from,0.0046610589258112445,lasso,cosine,0.1925,4
them,-0.008951682471965629,lasso,cosine,0.1925,4
I,0.02248793044237006,decision_tree,cosine,0.1925,4
had,0.0,decision_tree,cosine,0.1925,4
a,0.19328735967616315,decision_tree,cosine,0.1925,4
fitsnatac,0.021710874678486182,decision_tree,cosine,0.1925,4
time,0.0,decision_tree,cosine,0.1925,4
at,0.0,decision_tree,cosine,0.1925,4
this,0.2093160622078797,decision_tree,cosine,0.1925,4
event,0.06994436176393737,decision_tree,cosine,0.1925,4
It,0.0,decision_tree,cosine,0.1925,4
was,0.0,decision_tree,cosine,0.1925,4
wlel,0.0,decision_tree,cosine,0.1925,4
orngaiezd,0.0011929214925461662,decision_tree,cosine,0.1925,4
and,0.20753558043229547,decision_tree,cosine,0.1925,4
eyojned,0.0,decision_tree,cosine,0.1925,4
evrey,0.0,decision_tree,cosine,0.1925,4
moment,0.022492387257410398,decision_tree,cosine,0.1925,4
of,0.0,decision_tree,cosine,0.1925,4
it,0.0,decision_tree,cosine,0.1925,4
The,0.0,decision_tree,cosine,0.1925,4
speakers,0.0,decision_tree,cosine,0.1925,4
were,0.022929802190492073,decision_tree,cosine,0.1925,4
konwledgaeble,0.018311216426514527,decision_tree,cosine,0.1925,4
insihgftul,0.11973722763781863,decision_tree,cosine,0.1925,4
laerned,0.0024033996550845618,decision_tree,cosine,0.1925,4
lot,0.08865087613900167,decision_tree,cosine,0.1925,4
from,0.0,decision_tree,cosine,0.1925,4
them,0.0,decision_tree,cosine,0.1925,4
I,-0.08075983149758838,ridge,cosine,0.1925,5
had,0.07410272021462463,ridge,cosine,0.1925,5
a,0.2679254622438718,ridge,cosine,0.1925,5
fitsnatac,-0.13193761647997412,ridge,cosine,0.1925,5
time,-0.007029882731758681,ridge,cosine,0.1925,5
at,-0.035249850893104874,ridge,cosine,0.1925,5
this,-0.24914393542886173,ridge,cosine,0.1925,5
event,-0.075386619318287,ridge,cosine,0.1925,5
It,0.09468006797877748,ridge,cosine,0.1925,5
was,0.06086721501029277,ridge,cosine,0.1925,5
wlel,-0.036562052029756986,ridge,cosine,0.1925,5
orngaiezd,-0.07469844034242994,ridge,cosine,0.1925,5
and,-0.241952309264243,ridge,cosine,0.1925,5
eyojned,-0.05753380024848117,ridge,cosine,0.1925,5
evrey,-0.022672430961615628,ridge,cosine,0.1925,5
moment,-0.148152656366639,ridge,cosine,0.1925,5
of,-0.028847226294852164,ridge,cosine,0.1925,5
it,-0.01556373851341407,ridge,cosine,0.1925,5
The,0.09276971757902001,ridge,cosine,0.1925,5
speakers,0.07625674731352944,ridge,cosine,0.1925,5
were,0.09327947042522526,ridge,cosine,0.1925,5
konwledgaeble,-0.01798646905433965,ridge,cosine,0.1925,5
insihgftul,-0.19066529317008005,ridge,cosine,0.1925,5
laerned,-0.059699564192605116,ridge,cosine,0.1925,5
lot,0.17742616775246722,ridge,cosine,0.1925,5
from,0.03515309321183327,ridge,cosine,0.1925,5
them,-0.031478099636648105,ridge,cosine,0.1925,5
I,-0.04075229609683832,lasso,cosine,0.1925,5
had,0.01863939581187054,lasso,cosine,0.1925,5
a,0.2281841280124475,lasso,cosine,0.1925,5
fitsnatac,-0.10121031321431286,lasso,cosine,0.1925,5
time,-0.0,lasso,cosine,0.1925,5
at,-0.0,lasso,cosine,0.1925,5
this,-0.20920829653856743,lasso,cosine,0.1925,5
event,-0.03784093747212356,lasso,cosine,0.1925,5
It,0.04494442167674078,lasso,cosine,0.1925,5
was,0.016487908524254722,lasso,cosine,0.1925,5
wlel,-0.0,lasso,cosine,0.1925,5
orngaiezd,-0.05163550431592252,lasso,cosine,0.1925,5
and,-0.1934607921662804,lasso,cosine,0.1925,5
eyojned,-0.03550159973003046,lasso,cosine,0.1925,5
evrey,-0.0,lasso,cosine,0.1925,5
moment,-0.10356783001909155,lasso,cosine,0.1925,5
of,-0.0,lasso,cosine,0.1925,5
it,-0.0,lasso,cosine,0.1925,5
The,0.049661701390790854,lasso,cosine,0.1925,5
speakers,0.016007888906724912,lasso,cosine,0.1925,5
were,0.07087012814465349,lasso,cosine,0.1925,5
konwledgaeble,-0.0,lasso,cosine,0.1925,5
insihgftul,-0.15140200064932832,lasso,cosine,0.1925,5
laerned,-0.029327655771010937,lasso,cosine,0.1925,5
lot,0.1289139805971946,lasso,cosine,0.1925,5
from,0.0,lasso,cosine,0.1925,5
them,-0.0,lasso,cosine,0.1925,5
I,0.02284497430676907,decision_tree,cosine,0.1925,5
had,0.00334009397145328,decision_tree,cosine,0.1925,5
a,0.1903523026282786,decision_tree,cosine,0.1925,5
fitsnatac,0.0,decision_tree,cosine,0.1925,5
time,0.005394491408489655,decision_tree,cosine,0.1925,5
at,0.0,decision_tree,cosine,0.1925,5
this,0.23144080127088668,decision_tree,cosine,0.1925,5
event,0.061185153719070295,decision_tree,cosine,0.1925,5
It,0.0,decision_tree,cosine,0.1925,5
was,0.0,decision_tree,cosine,0.1925,5
wlel,0.0,decision_tree,cosine,0.1925,5
orngaiezd,0.020942023900325225,decision_tree,cosine,0.1925,5
and,0.21578936384720093,decision_tree,cosine,0.1925,5
eyojned,0.0,decision_tree,cosine,0.1925,5
evrey,0.0,decision_tree,cosine,0.1925,5
moment,0.03593505852292692,decision_tree,cosine,0.1925,5
of,0.0,decision_tree,cosine,0.1925,5
it,0.0,decision_tree,cosine,0.1925,5
The,0.0,decision_tree,cosine,0.1925,5
speakers,0.0,decision_tree,cosine,0.1925,5
were,0.03951789692454518,decision_tree,cosine,0.1925,5
konwledgaeble,0.010508439768193004,decision_tree,cosine,0.1925,5
insihgftul,0.08437572580833279,decision_tree,cosine,0.1925,5
laerned,0.0,decision_tree,cosine,0.1925,5
lot,0.07837367392352848,decision_tree,cosine,0.1925,5
from,0.0,decision_tree,cosine,0.1925,5
them,0.0,decision_tree,cosine,0.1925,5
I,-0.08994814504089699,ridge,cosine,0.1925,6
had,0.053297032496585926,ridge,cosine,0.1925,6
a,0.25129874147576214,ridge,cosine,0.1925,6
fitsnatac,-0.1594155517397282,ridge,cosine,0.1925,6
time,-0.044636939268737665,ridge,cosine,0.1925,6
at,-0.04727501359048727,ridge,cosine,0.1925,6
this,-0.2688042745127613,ridge,cosine,0.1925,6
event,-0.060435280330946924,ridge,cosine,0.1925,6
It,0.09609925258616797,ridge,cosine,0.1925,6
was,0.03733654724098892,ridge,cosine,0.1925,6
wlel,-0.018745919149228296,ridge,cosine,0.1925,6
orngaiezd,-0.10539485868236761,ridge,cosine,0.1925,6
and,-0.24878021254315127,ridge,cosine,0.1925,6
eyojned,-0.07777428042471583,ridge,cosine,0.1925,6
evrey,-0.028582347304283353,ridge,cosine,0.1925,6
moment,-0.14106280734110033,ridge,cosine,0.1925,6
of,-0.03424539097011305,ridge,cosine,0.1925,6
it,-0.00475803440501029,ridge,cosine,0.1925,6
The,0.07460301500668486,ridge,cosine,0.1925,6
speakers,0.04226836634910444,ridge,cosine,0.1925,6
were,0.10385906029375717,ridge,cosine,0.1925,6
konwledgaeble,-0.016140629827963802,ridge,cosine,0.1925,6
insihgftul,-0.20181034885255084,ridge,cosine,0.1925,6
laerned,-0.07492340855417923,ridge,cosine,0.1925,6
lot,0.14599913618314334,ridge,cosine,0.1925,6
from,0.048547803337818905,ridge,cosine,0.1925,6
them,-0.034999877710231164,ridge,cosine,0.1925,6
I,-0.04200296479856608,lasso,cosine,0.1925,6
had,0.027722634986656922,lasso,cosine,0.1925,6
a,0.21674404029398786,lasso,cosine,0.1925,6
fitsnatac,-0.10461338119184738,lasso,cosine,0.1925,6
time,-0.0,lasso,cosine,0.1925,6
at,-0.0,lasso,cosine,0.1925,6
this,-0.24948848365443582,lasso,cosine,0.1925,6
event,-0.03133237592599406,lasso,cosine,0.1925,6
It,0.06025921560139601,lasso,cosine,0.1925,6
was,0.0207802079611227,lasso,cosine,0.1925,6
wlel,-0.0,lasso,cosine,0.1925,6
orngaiezd,-0.04255017112500418,lasso,cosine,0.1925,6
and,-0.19874674808569245,lasso,cosine,0.1925,6
eyojned,-0.018799601634462745,lasso,cosine,0.1925,6
evrey,-0.0,lasso,cosine,0.1925,6
moment,-0.10847647652690305,lasso,cosine,0.1925,6
of,-0.0,lasso,cosine,0.1925,6
it,0.0,lasso,cosine,0.1925,6
The,0.050791143778249524,lasso,cosine,0.1925,6
speakers,0.01104528566039928,lasso,cosine,0.1925,6
were,0.06863439467777582,lasso,cosine,0.1925,6
konwledgaeble,-0.0,lasso,cosine,0.1925,6
insihgftul,-0.15375460752198714,lasso,cosine,0.1925,6
laerned,-0.001090761274767733,lasso,cosine,0.1925,6
lot,0.12895165410162235,lasso,cosine,0.1925,6
from,0.0035693072539774726,lasso,cosine,0.1925,6
them,-0.0,lasso,cosine,0.1925,6
I,0.0,decision_tree,cosine,0.1925,6
had,0.0,decision_tree,cosine,0.1925,6
a,0.2479572295086741,decision_tree,cosine,0.1925,6
fitsnatac,0.04561466685270796,decision_tree,cosine,0.1925,6
time,0.0,decision_tree,cosine,0.1925,6
at,0.0,decision_tree,cosine,0.1925,6
this,0.2283662117631473,decision_tree,cosine,0.1925,6
event,0.07314473384272818,decision_tree,cosine,0.1925,6
It,0.0080690150085197,decision_tree,cosine,0.1925,6
was,0.0,decision_tree,cosine,0.1925,6
wlel,0.0,decision_tree,cosine,0.1925,6
orngaiezd,0.0,decision_tree,cosine,0.1925,6
and,0.18742962836020793,decision_tree,cosine,0.1925,6
eyojned,0.0,decision_tree,cosine,0.1925,6
evrey,0.0,decision_tree,cosine,0.1925,6
moment,0.017372012102421355,decision_tree,cosine,0.1925,6
of,0.0,decision_tree,cosine,0.1925,6
it,0.0,decision_tree,cosine,0.1925,6
The,0.0038561133832945363,decision_tree,cosine,0.1925,6
speakers,0.0,decision_tree,cosine,0.1925,6
were,0.0171215483736345,decision_tree,cosine,0.1925,6
konwledgaeble,0.0,decision_tree,cosine,0.1925,6
insihgftul,0.08868353229929994,decision_tree,cosine,0.1925,6
laerned,0.0,decision_tree,cosine,0.1925,6
lot,0.07877677020589083,decision_tree,cosine,0.1925,6
from,0.0036085382994738803,decision_tree,cosine,0.1925,6
them,0.0,decision_tree,cosine,0.1925,6
I,-0.09341325115851319,ridge,cosine,0.1925,7
had,0.06322606890892435,ridge,cosine,0.1925,7
a,0.2617776794456164,ridge,cosine,0.1925,7
fitsnatac,-0.1343702668646833,ridge,cosine,0.1925,7
time,-0.02219890860823549,ridge,cosine,0.1925,7
at,-0.02758878325804799,ridge,cosine,0.1925,7
this,-0.271737921528213,ridge,cosine,0.1925,7
event,-0.08030884215492003,ridge,cosine,0.1925,7
It,0.09479164349812662,ridge,cosine,0.1925,7
was,0.058842071273763806,ridge,cosine,0.1925,7
wlel,-0.032119274249898855,ridge,cosine,0.1925,7
orngaiezd,-0.08562558148241285,ridge,cosine,0.1925,7
and,-0.2342283662560742,ridge,cosine,0.1925,7
eyojned,-0.053563017564803986,ridge,cosine,0.1925,7
evrey,-0.0324409255676804,ridge,cosine,0.1925,7
moment,-0.14213422120208685,ridge,cosine,0.1925,7
of,-0.016125994568158133,ridge,cosine,0.1925,7
it,-0.005281880962872702,ridge,cosine,0.1925,7
The,0.09539243608575897,ridge,cosine,0.1925,7
speakers,0.03397833231514671,ridge,cosine,0.1925,7
were,0.09652288311337585,ridge,cosine,0.1925,7
konwledgaeble,0.002186249762649712,ridge,cosine,0.1925,7
insihgftul,-0.19031888263641278,ridge,cosine,0.1925,7
laerned,-0.07550055213810189,ridge,cosine,0.1925,7
lot,0.1609161647736993,ridge,cosine,0.1925,7
from,0.036027722247222484,ridge,cosine,0.1925,7
them,-0.02489173100245439,ridge,cosine,0.1925,7
I,-0.06208162597080471,lasso,cosine,0.1925,7
had,0.033110526962428194,lasso,cosine,0.1925,7
a,0.22860468638586215,lasso,cosine,0.1925,7
